content,score,sentiment_score,sentiment
bagus bri mo perangkat,5,-8,negative
suka banget layan chat brimo langsung chat customer servicenya cepet tanggap kadang butuh solusi,5,26,positive
moga aman sistem brimo tingkat,5,-4,negative
bantu transaksi,5,0,neutral
cepat,5,-6,negative
juoosss,5,0,neutral
bagus bri benah,5,-8,negative
mudah okey,4,-2,negative
cepat bantu,5,-14,negative
admin nya fast respon bintang harap aplikasi kembang utama lapor transaksi nya jadwal iklan moga atur kirim jam tidur ganggu terimakasih perhati,5,2,positive
trima kasih mantaaab,5,0,neutral
manfaat,5,10,positive
mudah transaksi mantap,5,16,positive
mantap mudah,5,8,positive
transaksi cepat mantap,5,12,positive
fitur qris brimo mudah transaksi nontunai bayar pindai qr code repot bawa uang tunai inovasi,5,-2,negative
mudah tidak ribet cuman kadang kendala sinyal yang wajib diperbaikisaya pakai wifi paket data kadang suka notif jaring putus,5,-26,negative
puas,5,6,positive
mudah aman,5,-2,negative
puas bantu,5,-2,negative
bantu mudah simpel cepat,5,-10,negative
ok,5,8,positive
ok,5,8,positive
layan bagus terima kasih brimob,5,-10,negative
bantu tq brimo,4,0,neutral
bantu jarang ganggu mudah praktis transaksi,5,-2,negative
woiii saya tidak pake akun bri ya spam sms pemberitahuan tari nama orang lu hubung pinjol yaa,1,-24,negative
brimo baik,5,-2,negative
mudah,5,-2,negative
brimo bikin alam transaksi senang beli tiket kereta api aplikasi mudah cepat rekomen,5,-36,negative
cepat mudah,5,-8,negative
biar bintang yang bicara trimakasih,5,-8,negative
ya gk masuk aplikasi brimotiap masuk slalu handphone sesuai pdhal yang pake sesuai yang pake daftar brimo,3,-30,negative
sat set,5,0,neutral
cepat mudah transaksi,5,0,neutral
best performance,5,0,neutral
haloo brimo ko buka ya diupdate ya,3,16,positive
yang bagus,5,-18,negative
mudah perlu,5,2,positive
puas,5,6,positive
mudah rekening antri bank,5,-2,negative
ok la,5,8,positive
bagus amannn terimakasih brimo,5,2,positive
mudah urus,4,-2,negative
potong biaya admin,2,-4,negative
memuaskanketika ganti hp masuk tulis data nama kode yang masala nama karna pas,3,-28,negative
mudah transaksi transfer wallet,5,6,positive
orang suka investasi senang pilih beli saham brimo transparan mudah akses suka banget,5,-12,negative
manteppp,5,0,neutral
mudah uiux bagus,5,-10,negative
susah pinjam kemaren aju tgl gilir aju tidak gimana,5,-28,negative
bantu,5,-8,negative
moga,5,2,positive
transaksi super lancar,5,0,neutral
notif sms biyaya udh hubung cs ujung suruh kantor lngsung ribet ribet ribet,1,-40,negative
pokok nya bagus banget,5,-12,negative
pokok mantap,5,4,positive
bagusapa yang bayar kirim jalan lancartdk repot kantor bri lg,5,-22,negative
gin kena biaya sms sms yang gratis via wa aplikasi brimo,1,-16,negative
baikkkk bagussss,5,0,neutral
brimo bikin hidup mudah bayar tagih transfer beli minyak praktis repotrepot,5,-20,negative
bingung transfer uang teman negeri takut kena biaya brimo transfer negara ribet biaya jangkau bantu,5,-30,negative
mudah transaksi,5,6,positive
terimakasi mudah,5,-2,negative
mantap,5,10,positive
yang jalan pakai brimo oke siiiiip kendala ribet dgn atm yang blokir langsung tarik tunai kartu atm selamat brimo sukses,5,2,positive
mwmbantu,4,0,neutral
www update com,5,0,neutral
aplikasi bagus lancar,5,-20,negative
bagus maksimal guna nya tingkat aman nya,5,2,positive
brimo transaksi lancaaaar,5,8,positive
brimo bisabeli pulsa bayar tagih gampangtolong akun terblokirkirim otp nya wa alami iniakun brimo sayang blokir gara gara salah masuk kode pin kalino telpon daftar ngak sinyal sekalipihak brimo kirim otp wakarna keuanganbiar akun brimo buka,5,-80,negative
layan aplikasi brimo muas josss gandosss,5,-2,negative
puas,5,6,positive
mantap aplikasi,5,2,positive
rinduvs mwyjkij,2,0,neutral
brimo mudah investasi beli emas langsung aplikasi ga ribet toko aman praktis terima kasih brimo,5,-8,negative
brimo ubah kelola uang seharihari bayar tagih top ewallet aplikasi mudah interface userfriendly navigasi lancar bingung rekomendasi,5,-16,negative
good,5,10,positive
puas,4,6,positive
brimo cek saldo aja aja atm lumayan hemat andal,5,-12,negative
mudah cepat,5,-8,negative
bantu mudah atur uang,5,-18,negative
josss nemenlebih mudah transaksi,5,6,positive
aplikasi bagus love brimo bri,5,-22,negative
aplikasi simple cepat transfer atm mudah,5,-10,negative
mudah,5,-2,negative
mudah sy suka tampil,5,-10,negative
fasilitas qris brimo bikin bayar ribet ngga bawa uang tunai praktis banget,5,-16,negative
apk bagus cepet ngak ribet,5,-12,negative
simpel praktis lengkap mudah bertransaksisemoga aman,5,6,positive
utk brimo bantu,4,-8,negative
smoga mudah guna fitur aplikasi aju debit kredit,4,-14,negative
bagus,4,-8,negative
gampang brimo,5,-6,negative
mantab apk,5,0,neutral
bri mantapppp,5,0,neutral
ga login kode bank rzpo ya,1,2,positive
bagus cepat,5,-14,negative
banar tolong situasi sulit memudahkn dlm bertransaksiok mantap aplikasi,5,-2,negative
notif pagi jam pagi gmt hilang notif notif pagi atur silent bantu,3,-42,negative
mobile banking brimo pilih baik fitur lengkap layan langgan puas,5,-6,negative
min kasih mudah benerin lupa pin bank kalah aplikasi belah bank,3,-36,negative
bgus,5,0,neutral
mudah transaksi,5,6,positive
okay,5,8,positive
mudah fitur keren,5,-2,negative
gud,5,0,neutral
mantap buka rekening bank proses mudah cepat,5,-2,negative
aplikasi mobile perban gampang mudah paham,5,-22,negative
tolong kirim dana sblumnya lancar tolong baik,5,-2,negative
sukses brimo,5,6,positive
lumayan bagus,5,-12,negative
benerin,1,0,neutral
moga kendala,5,2,positive
coba baik transaksi gagal dimna kode fp mulu keluar,1,-18,negative
moga bri depan,5,2,positive
mudah utk transaksi,5,6,positive
bantu banget,5,-6,negative
blm pakai,4,0,neutral
biasaa,5,0,neutral
ok bantu lg butuh kartu udah kadaluarsa,5,-10,negative
bank parah ngisi brizzi shopee hasil aktif saldo gagal saldo hilang hahahaha rusakkk,1,-18,negative
mntap poko nya,5,-4,negative
brimo gaya hidup serba cepat aplikasi worth banget,5,-20,negative
barubaru fitur beli voucher game brimo puas proses sedia pilih voucher transaksi cepat alam gaming senang,5,10,positive
ajar butuh pulsa brimo top pulsa super gampang cepet ga rumah hemat,5,-24,negative
masuk brimo nya ribet banget yaentah salah mana nyaselalu tulis aktifitas log sempurnasilahkan login,2,-20,negative
mantap bantu apk nya,5,2,positive
kriss eror,4,-8,negative
good jobs,5,10,positive
aplikasi yang bantu,5,-26,negative
bantu,5,-8,negative
gagal login alas nomor handphone sesuaipadahal sesuaimohon solusi,3,-2,negative
apknya bagus pakai tidak kendala bintang nya kurang nasabah susah kartu atm,2,-22,negative
kali coba aplikasi mobile banking brimo tuh transaksi uang aplikasi simpel praktis,5,4,positive
layan internasional brimo mudah biaya proses transfer transparan cepat,5,-4,negative
nunggu kode verifikasi udah dimasukin akun dblng blm log,4,-4,negative
cepat bagus sat set,5,-14,negative
mudaj,5,0,neutral
lambat krja nya,1,2,positive
manatap,5,0,neutral
otp gagal,1,-8,negative
bantu,4,-8,negative
mntap,5,0,neutral
bantu,5,-8,negative
log pdhl nomor hp udh sesuai sya alih bca,1,6,positive
tolong bantu hp restart login ulang rekening terang data brimo beda login brimo mohon bantu terimakasih,2,-30,negative
sanagat bantu,5,-8,negative
ringan kerja singkat,5,-4,negative
mohon baik sistem bifast yang gagal transaksi,5,-24,negative
bagus layan cepat,5,-18,negative
good job,5,10,positive
mudah pokok cakep,5,-10,negative
mantapp,5,0,neutral
bagus aplikasi nya bantu mudah,5,-26,negative
mudah,5,-2,negative
salah fitur harga cashback realtime kali transaksi cashback langsung masuk akun transaksi harga insentif brimo,5,14,positive
fitur daftar brimo negeri benerbener selamat buka rekening hp kartu fisik keren,5,-2,negative
sulit buka rekening negeri brimo daftar jepang pakai hp proses cepat banget nggak ribet wow,5,-28,negative
jos,5,0,neutral
fast respons,5,6,positive
buka,1,-6,negative
bri hati rakyat,5,-4,negative
mantap bantu,3,2,positive
brimo bantu butuh nasabah,5,-10,negative
bantu transaksi,5,0,neutral
guna cepat,5,-4,negative
kereeeeenn,5,0,neutral
ga verifikasi wajah pas daftar laen ni apk,1,0,neutral
mudah,5,-2,negative
transaksi brimo masalah sya hpus brimo uanv yang trf masuk jelas sabrina agen live tdk solusi mohon maaf brimo uinstalll,1,-26,negative
brimo,5,0,neutral
tgl ulasanyg kmarenny gue bikin gue perbhrui naah gue kasih bintang karna apaaa karna gue udh dtg langsung kantor bri dn bantu csyg cantik jelita ramah dn sopanyg kaya gin gue suka langsung gue dibikinin buka apk brimo langsung ferivcasi dn hasnyaok gue harap gk pake ribeut lgikedepanyaokbrotks,5,-24,negative
sippppp,5,0,neutral
nyaman,5,8,positive
gimana ya kelas bri kog data nasabah retas pake brimo biar aman aman hilang juta gimana nih bank bri tanggung gimana transaksitransfer beda bank,1,-20,negative
reflek bintang,5,0,neutral
applikasi yang mudah,5,-12,negative
tunggu tingkat terimakasih,4,8,positive
muas hambat,5,2,positive
mantaaap,5,0,neutral
manfaat,5,10,positive
bagus good,5,2,positive
bantu brimo,5,-8,negative
makas,5,0,neutral
mudah akses jangkau nasabah,5,10,positive
rekomendasi,5,0,neutral
topp,5,0,neutral
nice,5,8,positive
good jobb,5,10,positive
bagus mudah transaksi mana,5,-2,negative
tidk terdftraa,1,0,neutral
brimo hadir bawa solusi orang hidup mobilitas layan uang aplikasi mantap,5,-16,negative
guna setia aplikasi mobile banking brimo penuh ekspektasi fungsi catat uang aplikasi bantu pantau keluar kombinasi fiturfitur canggih interface intuitif buat pilih utama,5,-28,negative
transfer hari mudah nggak antri bank tinggal buka brimo rumah klik praktis banget,5,-4,negative
bantu,5,-8,negative
kali update susah login,5,-6,negative
saldo impi masuk rekening induk simpedes rang biaya administrasi tutup rp daftar paksa fitur impianmirip kaya inves paksa bayar k batal fitur batal saldo capai k impi fitur guna kerja milik gaji gila dah,1,-78,negative
mantap,5,10,positive
bantu banget,5,-6,negative
mantap bossku,5,10,positive
suka layan brimo mudah transaksi tidak drama,5,-18,negative
banget pakai brimo satset cepet tidak salah ngasih,5,-16,negative
gooodddddd,5,0,neutral
josss,5,0,neutral
mantap gan,5,10,positive
baik mudah kerja,5,0,neutral
login musti paket data jamanya wifi payah,3,2,positive
mudah ribet,5,-10,negative
mudah cepat,5,-8,negative
bangga aplikasi brimo kendala invest lancar,5,-6,negative
verifikasi foto sudh,3,6,positive
go,5,0,neutral
transaksi cepat,5,2,positive
mudah dan bermafaat,5,-2,negative
mantaabb,5,0,neutral
ok aja,5,10,positive
baik,5,-2,negative
aplikasi yang guna,5,-16,negative
daftar ribet sihtapi mantap,5,-4,negative
aplikasi brimo benarbenar mudah daftar rekening bank proses digital cepat mudah negeri nomor hp negeri bantu mudah urus finansial bravo bri,5,-32,negative
transaksi seharihari mudah brimo layan aplikasi repot berpindahpindah aplikasi selesai transaksi hasil efisien,5,-10,negative
aplikasi bagus tingkat aman nya,5,-14,negative
moga lancar lancar,5,-6,negative
tolong limit minimal pinjam modal usaha juta utk usaha rumah panjang usaha tp klo limit minimal utk gimana klo pd gk bantu umkm,3,-40,negative
brimo fitur manfaat beli emas ribet proses cepat bantu,5,-16,negative
banget,5,2,positive
update susah logindan tera jaring jelekpedahal wifi data bagus,2,-14,negative
verikasi nohp ya,3,8,positive
bantu banget joss,5,-6,negative
tingkat,5,2,positive
mantap bri,5,10,positive
nyaman transaksi,5,16,positive
bagus mudah,5,-10,negative
goodmempermudah transaksi tidak antri,5,-2,negative
bagus cepat smoga aman jaga,5,-20,negative
ya bagus,5,0,neutral
muas,5,10,positive
bantu,5,-8,negative
inovatif dan mudah,5,-2,negative
mudah,5,-2,negative
sangt mudah,5,-2,negative
mantep,5,0,neutral
terima kasih brimo layan,5,-2,negative
alhamdulillah cepat,5,4,positive
muas,1,10,positive
tolong brimo kasih yang enak tranfer uang bisabisa hilang uang brimo begitu tolong kerja nya brimo bri,3,-32,negative
transaksi cepat,5,2,positive
mudah simple cpt,5,4,positive
waoowww,5,0,neutral
trouble crash terang bug aplikasi tunggu aplikasi diupdate developer tolong benah,1,-38,negative
sy untung pake aplikasi isi saldo dana transfer jg cepat sy suka,5,-16,negative
bantu transaksi elektronik,5,0,neutral
tolong baik qrisnya lambat pindai barcode,3,-4,negative
kes brimo mudah akses produk investasi orang ajar investasi dashboard ksei brimo bantu paham kelola portofolio,5,4,positive
kali daftar brimo gagal foto ktp mau foto,1,-4,negative
mudah,5,-2,negative
perfect,5,0,neutral
mudah cepat aman,5,-8,negative
praktiscepat,5,0,neutral
mantap,5,10,positive
cepatmudah aman nyaman transaksi,5,16,positive
waow,5,0,neutral
mntap,5,0,neutral
good aplication,5,10,positive
mudah,5,-2,negative
mudah,5,-2,negative
verivikasi wajah ga leher udah patah geleng kirikanan ttp ga,1,-14,negative
praktis,5,8,positive
mudah urus bayar tidak repot pergi bank mesin atm terima kasih brimo,5,-32,negative
muas,5,10,positive
gampang tur praktis,5,2,positive
kerja keras,5,4,positive
brimo mantap,5,10,positive
terimakasih bri apa jd mudah,5,2,positive
manfaat,1,10,positive
terimakasih mudah kirim uang,5,12,positive
daftar masukin rek pas verifikasi ktp gagal suruh foto ulang ulang x ttap gagal gimna sih apk,2,-14,negative
bantu suka aplikasi mantap,5,-8,negative
susah daftar,2,-12,negative
enak bri,5,-8,negative
bagus aplikasi mudah trangsaksi,5,-18,negative
simple practicegood job bri,5,6,positive
brimo bri error,5,-10,negative
ribet daptar,2,-8,negative
hebat,5,0,neutral
ngirim notif gua bayar asu,1,-12,negative
best brimo,5,0,neutral
luarbiasa,5,0,neutral
bagus guna,5,-6,negative
ga jelassejak login pake nomer daftar nyusahin guna nomer udah sesuai tetep tidak login,1,-8,negative
trima ksih brimo sdh bantu,5,-6,negative
grecep puas,5,6,positive
gooda,5,0,neutral
bagus,5,-8,negative
gagal hubung internet internet login transaksi aplikasi atas,5,-22,negative
mudah transaksi sistem nya eror kali log masalah sinyal jaring buruk nomor telepon seluler salah cape baik nya online solusi satu solusi langsung cs bank kali log cs bank ribet,3,-32,negative
bagus tangan cepat simpel,5,-6,negative
cepat,4,-6,negative
brimo oke,5,4,positive
brimo bantu,5,-8,negative
brimo mantaap,5,0,neutral
jos gandos,5,0,neutral
mantal serba praktis,5,8,positive
oke,5,4,positive
tdk loginmuncul kode ruic trustlong prbaiki,1,-6,negative
ui nya gampang mudah pengoprasiannya,5,-8,negative
bagus,5,-8,negative
bantu mana aja,5,-6,negative
ribet potong,2,-12,negative
tidak komentar mudah ajar mudah hari,5,-20,negative
percaya bantu,5,-4,negative
mantap bantu,5,2,positive
nyaman gk nyaman jaring full tersu kadang suka ganggu klo tf susah akses,1,16,positive
senang,5,-8,negative
moga sukses,5,8,positive
bantu mudah,4,-10,negative
mudah cepat aman bantu moga bri jaya depan amin,5,-12,negative
alhamdulillah nambah saldo,5,14,positive
ok puas banget aplikasi brimo mudah transaksi,5,14,positive
bantu,5,-8,negative
bri cair mai,3,-2,negative
bagus,5,-8,negative
aplikasi membantusemoga lancar nya,5,-12,negative
nya aplikasi ya susah banget masuk hp data sesuai user pswrd udah pas tidak masuk,1,-20,negative
jossssmembantu,5,0,neutral
knapa update susah kali masuk brimo wifi paket data lancar jaya ja terang wifi data lemah hem,5,-26,negative
mudah transaksi,5,6,positive
mudah,5,-2,negative
brimo mantap,5,10,positive
mantap cepat proses transfer,5,6,positive
apk tll gbisa login alesan kndala jaring udh cba pke data wifi gbisa trs,1,0,neutral
harap bank penggembang aplikasi baik login kartu pakai internet salah kode ruic aplikasi gaya emang ga butuh salah kode ruic bug baik bintang kalau aplikasi baik ulas baik sekian terimakasih,3,-68,negative
manfaat transaksi cepat,5,12,positive
mantap,5,10,positive
mantap bantu,4,2,positive
kereenn,5,0,neutral
beli pulsa aplikasi suda tidak masuk proses mulu belanja aplikasi brimo karna beli proses tidak lapor,1,-60,negative
senang banget bayar tagih aplikasi mesti pindahpindah aplikasi pakai brimo,5,-40,negative
bantu,5,-8,negative
alam senang pakai brimo energik intuitif mudah pakai bingung,5,-8,negative
apk nya bagus sayang nya kalau sinyal lag dikit tidak jalan loding nya,5,-34,negative
gk masuk akun brimo sayapadahal udah,2,-6,negative
guna,5,2,positive
memper mudah transaksi mantap brimo,5,16,positive
lega puas nyaman,5,14,positive
ok,5,8,positive
mantep,5,0,neutral
susah login pulang cs bri tolong baik bri,3,-12,negative
praktis dn simpel sayang login,4,8,positive
yes yes yes,5,18,positive
transaksi uang jd mudah ribet pake kartu,5,-2,negative
aplikasi yang keren,5,-18,negative
mantap bantu,5,2,positive
mantap simple useable,5,16,positive
cepat transaksi,5,2,positive
efisien,5,8,positive
mantulterus pertahankani love brimo,5,-6,negative
mantap tingkat,5,12,positive
membantujossss,5,0,neutral
bayar mudah,5,-8,negative
enak gampang pakai nya,5,-14,negative
lumayan mudah,4,-6,negative
praktis mudah,5,6,positive
proses qris tidak proses mala hangus rb,1,-22,negative
fitur bripoin brimo tarik aktif transaksi tukar poin evoucher tarik motivasi sendiri aplikasi,5,-12,negative
brimo lagilagi bukti investasi emas jangkau gampang suka banget fitur,5,-12,negative
ningkatkan terussukses,5,0,neutral
mudah,5,-2,negative
mudah praktis,5,6,positive
ya brimo oo ga qris,1,8,positive
mudah transaksi,5,6,positive
mudah brimo,4,-2,negative
transaksi transfer konfirmasi password gagal,1,6,positive
transaksi apa mudah aplikasi mbanking brimo,5,-8,negative
ok mudah transaksi,5,14,positive
nyaman mudah,5,6,positive
mudah,5,-2,negative
bri ok bingiittt,5,8,positive
mantap tebantu,5,10,positive
ya brimo gabisa buka,3,2,positive
bissa rekening ga kk,5,0,neutral
mudah yang nyata,5,-16,negative
bantu transaksi,5,0,neutral
mudah transaksi,5,6,positive
tingkat nyaman aman,4,10,positive
brimob hati benarbenar mudah transaksi jam bravo,5,2,positive
sistem ga jelassy sdh aju lunaskenapa ga kasih limit,1,-16,negative
bantu rakyat,5,-8,negative
pakai brimo mudah,5,-2,negative
mudah transaksi,5,6,positive
moga bagus ya brimo depan jngan lupa hadir kejut hadiah yang tarik member yang daftar biar senang hati transaksi bank,4,-54,negative
tibatiba brimo buka muncul notifikasi koneksi buruk koneksi mohon benah terimakasih,1,-32,negative
bagus mudah transaksi,5,-2,negative
aplikasi agakagak aneh login deteksi pakai nomor hp yang beda diinstall brimo hp direstart pas login terang aktivitas sempurna coba,1,-38,negative
ya udh daftar brimo tpi gbisa masuk truspdhal username sandi udh bner tpi tetep tdak masuk,4,-10,negative
cepat transaksi coba menu transfer mudah gampang paham,4,-8,negative
sangatmembantu mudah segalanyarekomendasi bangatzzzpokok nya mantap dehh,5,8,positive
ok bintang aja bicara,5,10,positive
muas,5,10,positive
bagus transfer dana org ribet,5,-8,negative
mantab pokok e wes bantu transaksi nyaman aman mudah bagus lg depan terima kasih,5,-6,negative
mantap brimo,5,10,positive
bagus ji aplikasi,5,-16,negative
bagus layan nya,5,-12,negative
bagus membantutransaksi cepat,5,-14,negative
simpel,5,6,positive
bantu,5,-8,negative
simplecepat mudah,4,-2,negative
pokok ok,5,2,positive
assalamualaikum wrwb terimakasih brimo bri love full mmmmmmcuah,5,10,positive
oke transaksi mudah biaya tf ga mahal,5,12,positive
mudah,4,-2,negative
ok,5,8,positive
fitur transaksi negara brimo kirim uang keluarga negeri biaya transfer rendah bantu,5,-12,negative
senang perlu finansial transaksi seharihari cepat efisien,5,6,positive
aplikasi guna pergi proses transfer bayar negeri nyaman brimo benerbener andal,5,-10,negative
kali coba aplikasi langsung jatuh cinta proses transfer uang keluarga negeri gampang banget,5,-20,negative
mudah transaksi uang,5,6,positive
brimo error beli paket bayar masuk transfer kirim cek baca gagal pr,3,-34,negative
jos transfer mudah transaksi online mudah,5,4,positive
good job,5,10,positive
ak snang dgn nya brmo jdi ak tau klu uang masuk,1,-14,negative
mudah gara gara brimo,5,-18,negative
bagus aja gaada kendala,4,-12,negative
mudah bagus,5,-10,negative
nyaman,5,8,positive
aman damai uwuwuwu,5,0,neutral
suka pake brimo,5,-2,negative
mudah,5,-2,negative
mudah,5,-2,negative
mudah transaksi hari terimakasih brimo,5,16,positive
mudah lncar,5,-2,negative
bantu,5,-8,negative
mudah informatif,5,-2,negative
aplikasi brimo bantu atur uang pantau keluar investasi emas mudah thumbs,5,-28,negative
suka brimo cashbacknya kali transaksi cashback langsung masuk akun bikin belanja nguntungin,5,0,neutral
support customer servicenya mudah akses alami transaksi chat aplikasi atas cepat,5,-4,negative
brimo mantap layan cepat,5,0,neutral
cepat akurat,5,-6,negative
sngat bantu,4,-8,negative
aplikasi bantu urus uang,5,-16,negative
mantap bos,5,16,positive
banyak bunos new brimo,5,-6,negative
brimo bantu atur investasi jual beli emas proses mudah harga saing puas layan investasi tawar,5,-20,negative
mudah transaksi,5,6,positive
pake brimo asik tinggal mager beres semuasukses,5,-6,negative
bantu transaksi,4,0,neutral
susah ya pakai brimo beli pulsa listrik kali gagal cepat biar tunggu lamasuruh ulang cepat masukin nomer meter super cepat salah masukin ya data buka bain beli data buka aplikasi gagal transaksi nya data habis ya,1,-96,negative
aplikasi pakai tidak login data udah kecewa,1,-24,negative
bantu moga depan bagus,4,-14,negative
kepalarumahtangga,5,0,neutral
baguss,5,0,neutral
membantuuu,5,0,neutral
ok,3,8,positive
halo kak tingkat layan bri mo puas,5,6,positive
transaksi mudah bantu,5,-2,negative
bantu,5,-8,negative
mantap brimo,5,10,positive
gx saldo kadang suka strip doang,2,6,positive
brimo mantap,5,10,positive
bagus aplikasi lengkap tahan tingkat,5,-24,negative
cocok untuk,5,-6,negative
moga aplikasi lancar,5,-10,negative
trimakasih brimo bri,5,8,positive
